slide,image_index,output_file,media_file,shape_name,description
1,1,slide001/01_Screenshot_192.jpeg,ppt/media/image3.jpeg,Picture 1,Screenshot_192.jpg
2,1,slide002/01_Screenshot_193.jpeg,ppt/media/image4.jpeg,Picture 1,Screenshot_193.jpg
3,1,slide003/01_Screenshot_194.jpeg,ppt/media/image5.jpeg,Picture 1,Screenshot_194.jpg
4,1,slide004/01_Screenshot_195.jpeg,ppt/media/image6.jpeg,Picture 1,Screenshot_195.jpg
5,1,slide005/01_Screenshot_196.jpeg,ppt/media/image7.jpeg,Picture 1,Screenshot_196.jpg
6,1,slide006/01_Screenshot_197.jpeg,ppt/media/image8.jpeg,Picture 1,Screenshot_197.jpg
7,1,slide007/01_Screenshot_198.jpeg,ppt/media/image9.jpeg,Picture 1,Screenshot_198.jpg
8,1,slide008/01_Screenshot_199.jpeg,ppt/media/image10.jpeg,Picture 1,Screenshot_199.jpg
9,1,slide009/01_Screenshot_200.jpeg,ppt/media/image11.jpeg,Picture 1,Screenshot_200.jpg
10,1,slide010/01_Screenshot_201.jpeg,ppt/media/image12.jpeg,Picture 1,Screenshot_201.jpg
11,1,slide011/01_Screenshot_202.jpeg,ppt/media/image13.jpeg,Picture 1,Screenshot_202.jpg
12,1,slide012/01_Screenshot_203.jpeg,ppt/media/image14.jpeg,Picture 1,Screenshot_203.jpg
13,1,slide013/01_Screenshot_204.jpeg,ppt/media/image15.jpeg,Picture 1,Screenshot_204.jpg
14,1,slide014/01_Screenshot_205.jpeg,ppt/media/image16.jpeg,Picture 1,Screenshot_205.jpg
15,1,slide015/01_Screenshot_206.jpeg,ppt/media/image17.jpeg,Picture 1,Screenshot_206.jpg
16,1,slide016/01_Screenshot_207.jpeg,ppt/media/image18.jpeg,Picture 1,Screenshot_207.jpg
17,1,slide017/01_Screenshot_208.jpeg,ppt/media/image19.jpeg,Picture 1,Screenshot_208.jpg
18,1,slide018/01_Screenshot_209.jpeg,ppt/media/image20.jpeg,Picture 1,Screenshot_209.jpg
19,1,slide019/01_Screenshot_210.jpeg,ppt/media/image21.jpeg,Picture 1,Screenshot_210.jpg
20,1,slide020/01_Screenshot_211.jpeg,ppt/media/image22.jpeg,Picture 1,Screenshot_211.jpg
21,1,slide021/01_Screenshot_212.jpeg,ppt/media/image23.jpeg,Picture 1,Screenshot_212.jpg
22,1,slide022/01_Screenshot_213.jpeg,ppt/media/image24.jpeg,Picture 1,Screenshot_213.jpg
23,1,slide023/01_Screenshot_214.jpeg,ppt/media/image25.jpeg,Picture 1,Screenshot_214.jpg
24,1,slide024/01_Screenshot_215.jpeg,ppt/media/image26.jpeg,Picture 1,Screenshot_215.jpg
25,1,slide025/01_Screenshot_216.jpeg,ppt/media/image27.jpeg,Picture 1,Screenshot_216.jpg
26,1,slide026/01_Screenshot_217.jpeg,ppt/media/image28.jpeg,Picture 1,Screenshot_217.jpg
27,1,slide027/01_Screenshot_218.jpeg,ppt/media/image29.jpeg,Picture 1,Screenshot_218.jpg
28,1,slide028/01_Screenshot_219.jpeg,ppt/media/image30.jpeg,Picture 1,Screenshot_219.jpg
29,1,slide029/01_Screenshot_220.jpeg,ppt/media/image31.jpeg,Picture 1,Screenshot_220.jpg
30,1,slide030/01_Screenshot_221.jpeg,ppt/media/image32.jpeg,Picture 1,Screenshot_221.jpg
31,1,slide031/01_Screenshot_222.jpeg,ppt/media/image33.jpeg,Picture 1,Screenshot_222.jpg
32,1,slide032/01_Screenshot_223.jpeg,ppt/media/image34.jpeg,Picture 1,Screenshot_223.jpg
33,1,slide033/01_Screenshot_224.jpeg,ppt/media/image35.jpeg,Picture 1,Screenshot_224.jpg
34,1,slide034/01_Screenshot_225.jpeg,ppt/media/image36.jpeg,Picture 1,Screenshot_225.jpg
35,1,slide035/01_Screenshot_226.jpeg,ppt/media/image37.jpeg,Picture 1,Screenshot_226.jpg
36,1,slide036/01_Screenshot_227.jpeg,ppt/media/image38.jpeg,Picture 1,Screenshot_227.jpg
37,1,slide037/01_Screenshot_228.jpeg,ppt/media/image39.jpeg,Picture 1,Screenshot_228.jpg
38,1,slide038/01_Screenshot_229.jpeg,ppt/media/image40.jpeg,Picture 1,Screenshot_229.jpg
39,1,slide039/01_Screenshot_230.jpeg,ppt/media/image41.jpeg,Picture 1,Screenshot_230.jpg
40,1,slide040/01_Screenshot_231.jpeg,ppt/media/image42.jpeg,Picture 1,Screenshot_231.jpg
